content,labels
感觉 没有 实体店 好 ,与实体店不一致
感觉 没有 实体店 里 好 ,与实体店不一致
感觉 没有 想象 中 好 有 气味 一般般 ,气味问题
感觉 没有 比 维多利亚 更 舒服 内衣 ,舒适度佳
感觉 没有 运动鞋 做工 好 ,做工粗糙
感觉 没那么好 看 还有 鞋子 味 很大 ,气味问题
感觉 洗 变小 ,缩水
感觉 洗 洗 都 要 变形 ,变形
感觉 洗 着 会 变 得 超大 ,偏大
感觉 洗 过 就 变小 ,缩水
感觉 清洗 会 挺 头 部位 ,描述清洗
感觉 照 着 尺寸 表 买 号 有点 小 ,尺码偏差
感觉 物有所值 ,性价比高
感觉 特别 不错 ,整体满意度佳
感觉 特别 好 ,整体满意度佳
感觉 特别 棒 ,整体满意度佳
感觉 特别 舒服 ,舒适度佳
感觉 特 好看 ,颜色外形美观
感觉 狠 厚 ,偏厚
感觉 天猫 连 旗舰店 也 不一 定 是 正品 ,正品与否
感觉 款式 越来越 好看 ,设计好
感觉 球鞋 包裹性 很 强 ,包裹性强
感觉 甜美 又 不失 沉稳 ,颜色外形美观
感觉 略 小 ,偏小
感觉 相同 尺码 比 要 小 ,偏小
感觉 真是 店 客 ,正品与否
感觉 真是 很 划算 ,性价比高
感觉 短 总 掉 ,偏短
感觉 码 偏大 ,偏大
感觉 码子 不是 很 正 穿着 有点 鞋子 好看 ,偏小
感觉 码子 不是 很 正 穿着 有点 鞋子 好看 ,颜色外形美观
感觉 码子 偏小 ,偏小
感觉 码数 不 太 对 ,尺码偏差
感觉 码数 偏大 ,偏大
感觉 码数 偏小 ,偏小
感觉 码数 小了 点 ,偏小
感觉 码数 很 正常 ,尺码合适
感觉 码 有点 偏小 ,偏小
感觉 稍微 有点 大 ,偏大
感觉 稍微 有点 长 ,偏长
感觉 稍 有色 差 ,有色差
感觉 穿 上 有点 闷 ,闷气
感觉 穿 铁 鞋 ,舒适度欠佳
感觉 穿 天 就 会 臭 掉 ,闷气
感觉 穿 时候 有点 困难 ,穿脱困难
感觉 穿 还 不错 ,整体满意度佳
感觉 穿着 有点 不 透气 ,闷气
感觉 穿 起来 不舒服 ,舒适度欠佳
感觉 穿 起来 没 舒服 ,舒适度欠佳
感觉 绿色 款 应该 不是 正版 ,正品与否
感觉 耐克 不 应该 是 质量 ,做工粗糙
感觉 耐克 鞋子 在 度 上 更 窄 ,偏窄
感觉 耐脏 ,耐脏
感觉 肩膀 背 很 勒 胸 围 刚好 想 换 又 怕 胸 包裹性 不好 ,包裹性差
感觉 脚 后跟 有点 硬 ,偏硬
感觉 脚 后跟 有点 硬 ,偏硬
感觉 脚 后跟 都 快 被 磨 烂 ,磨脚
感觉 脚步 都 轻 ,轻巧轻便
感觉 脚 肥 不 太 好看 ,颜色外形欠佳
感觉 自己 萌 萌 衣 衣 真 漂亮 ,颜色外形美观
感觉 良好 ,整体满意度佳
感觉 色差 有点 大 ,有色差
感觉 薄 了点 ,偏薄
感觉 蛮 好的 ,整体满意度佳
感觉 衣服 有点 皱 ,褶皱
感觉 衣服 很 轻 ,轻巧轻便
感觉 衣服 有点 小 ,偏小
感觉 衣服 有点 长 ,偏长
感觉 衣服 款式 面料 有点 偏 宽松 不过 毕竟 有 较 折扣 藏青 色 蛮 好看 ,优惠活动
感觉 袜子 有点 贵 ,性价比低
感觉 比 图片 效果 低 ,与详情页不一致
感觉 裤 头 没 弹性 ,弹性差
感觉 裤子 不 值 ,性价比低
感觉 裤子 不是 新 ,整体满意度差
感觉 裤腿 紧 小了 ,偏小
感觉 要 开胶 ,脱胶
感觉 质量一般 ,做工粗糙
感觉 质量 不错 ,做工优良
感觉 质量 也 不错 ,做工优良
感觉 质量 依旧 很 不错 样子 ,做工优良
感觉 质量 好 差 ,做工粗糙
感觉 质量 差不多 还 需要 试试 看 ,做工优良
感觉 质量 挺 好的 ,做工优良
感觉 质量 没有 预期 好 ,做工粗糙
感觉 质量 还 可以 ,做工优良
感觉 质量 还 行 ,做工优良
感觉 贵 ,性价比低
感觉 走路 都 变 快 ,配送快
感觉 起毛 ,起球
感觉 超 值 ,性价比高
感觉 超级 棒 ,整体满意度佳
感觉 跟 图片 上 有点 差别 ,与详情页不一致
感觉 跟 店 里 不 太 一样 ,与实体店不一致
感觉 跟 店 里 买 不一样 ,与实体店不一致
感觉 跟 卡 侬 差 不 ,描述差评
感觉 轻 柔软 ,轻巧轻便
感觉 还 不错 ,整体满意度佳
感觉 还 不错 ,整体满意度佳
感觉 还 不错 ,整体满意度佳
感觉 还 不错 大小 对 刚刚 好 ,尺码合适
感觉 还 不错 样子 蛮 好的 布料 也 柔软 ,设计好
感觉 还 不错 物流 很 快 ,配送快
感觉 还 不错 穿 上 蛮 舒服 有点味 道 ,舒适度佳
感觉 还 不错 穿 上 蛮 舒服 有点味 道 ,气味问题
感觉 还 可以 ,整体满意度佳
感觉 还 可以 ,整体满意度佳
感觉 还 可以 刚 开始 穿 有 硬 ,偏硬
感觉 还 可以 是 看 在 偶像 上 觉得 不 值 ,性价比低
感觉 还 可以 就是 拿 出来 皱 ,褶皱
感觉 还 可以 就是 试穿 下 就是 客户 服务 太 慢 ,回复速度慢
感觉 还 可以 有点 偏硬 ,偏硬
感觉 还 可以 材料 很 薄 有点 透 ,偏薄
感觉 还 可以 物流 棒棒哒 包装 很 好 ,包装完好
感觉 还 可以 ,整体满意度佳
感觉 还 可以 ,整体满意度佳
感觉 还 可以 看起来 ,整体满意度佳
感觉 还 可以 鞋 码 正 ,尺码合适
感觉 还 可以 鞋 码 正 ,整体满意度佳
感觉 还 好 ,整体满意度佳
感觉 还 好 很多 线头 也 懒得 退 ,线头
感觉 还 挺 好看 ,颜色外形美观
感觉 还是 不错 ,整体满意度佳
感觉 还是 不错 ,整体满意度佳
感觉 还是 买 大了 ,偏大
感觉 还是 可以 ,整体满意度佳
感觉 还是 可以 ,整体满意度佳
感觉 还是 实体店 有 区别 质量 还 行 ,做工优良
感觉 还是 宽松 刚刚 好 穿 起来 比较 舒适 ,尺码合适
感觉 还是 很 值 ,性价比高
感觉 还是 很 漂亮 ,颜色外形美观
感觉 还是 整体 不错 ,整体满意度佳
感觉 还是 有点 厚 ,偏厚
感觉 还是 有的 棒 ,整体满意度佳
感觉 还是 没有 乔 穿着 舒服 ,舒适度欠佳
感觉 还 算 不错 ,整体满意度佳
感觉 还 蛮 好的 ,整体满意度佳
感觉 还 行 ,整体满意度佳
感觉 还 行 ,整体满意度佳
感觉 还 行 穿 挺 舒服 ,舒适度佳
感觉 价位 不 值 ,性价比低
感觉 材料 特别 容易 破 ,材质欠佳
感觉 款式 挺 好的 ,设计好
感觉 牌子 衣服 尺码 偏小 ,偏小
感觉 略微 不 值 ,性价比低
感觉 跟 香港 买 码 偏小 ,偏小
感觉 鞋 包裹性 比较 强 ,包裹性强
感觉 件 尺码 刚刚 好 ,尺码合适
感觉 这家 店 客服 推荐 衣服 普遍 大一号 ,偏大
感觉 款 应该 不错 ,整体满意度佳
感觉 款 鞋 尺寸 偏小 ,偏小
感觉 款 穿着 不舒服 ,舒适度欠佳
感觉 质地 容易 变形 ,变形
感觉 钱 花 不 值 ,性价比低
感觉 透气 一般 ,闷气
感觉 都 很 好 ,整体满意度佳
感觉 都 挺 好的 ,整体满意度佳
感觉 都 还 可以 ,整体满意度佳
感觉 假货 ,正品与否
感觉 非常 好 ,整体满意度佳
感觉 非常 轻盈 ,轻巧轻便
感觉 非常 舒服 ,舒适度佳
感觉 非常 酷 ,版型不错
感觉 面料 不是 很 软 ,材质欠佳
感觉 面料 太 薄 ,偏薄
感觉 面料 少 层 ,材质欠佳
感觉 面料 跟 专柜 不 太 一样 ,与实体店不一致
感觉 鞋 头 比 买 宽 好多 ,偏宽
感觉 鞋子 不 太 行 ,整体满意度差
感觉 鞋子 不是 正品 ,正品与否
感觉 鞋子 有点 硬 ,偏硬
感觉 鞋子 码数 偏小 ,偏小
感觉 鞋底 不 耐磨 ,不耐磨
感觉 鞋底 不 耐磨 都 还 行 ,不耐磨
感觉 鞋底 太 硬 ,偏硬
感觉 鞋底 好 硬 ,偏硬
感觉 鞋底 硬 ,偏硬
感觉 鞋底 有点 硬 ,偏硬
感觉 鞋底 有点 硬 没 想象 轻 其他 还 行 ,偏硬
感觉 鞋底 比 想象 中 硬 ,偏硬
感觉 鞋底 超级 不 耐磨 ,不耐磨
感觉 鞋底 还是 比较 硬 ,偏硬
感觉 鞋 有点 偏长 ,偏长
感觉 鞋 有点 大 ,偏大
感觉 鞋 码 不对 ,尺码偏差
感觉 鞋 码 偏小 ,偏小
感觉 鞋 码 有点 偏小 ,偏小
感觉 鞋 码 稍微 有点 点 偏大 ,偏大
感觉 顺丰 有点 慢 ,配送慢
感觉 领口 有点 儿 大 ,偏大
感觉 领子 有点 窄 ,偏窄
感觉 颜色 有点 差别 ,有色差
感觉 颜色 比 店 里 深 ,与实体店不一致
感觉 颜色 没那么好 看 ,颜色外形欠佳
感觉 黑色 会 比较 耐脏 ,耐脏
感谢 加盟 让我 买 到 便宜 正品 超 好 ,原装正品
感谢 卖家 ,客服态度好
感谢 双十一 快递 哥 ,配送快
感谢 双十一 ,优惠活动
感谢 售后 号 细心 服务 ,客服态度好
感谢 售后 号 贴心 服务 ,客服态度好
感谢 客服 ,客服态度好
感谢 客服 不厌其烦 回复 ,客服态度好
感谢 客服 美女 耐心 服务 ,客服态度好
感谢 客服 小 乐 帮助 ,客服态度好
感谢 客服 人员 为 周到 服务 ,客服态度好
感谢 客服 小 d 服务 ,客服态度好
感谢 客服 小 d 热情 推荐 ,客服态度好
感谢 客服 小 耐心 解答 ,客服态度好
感谢 客服 小 乐 周到 服务 ,客服态度好
感谢 客服 风 ,客服态度好
感谢 客服 推荐 尺码 相当 满意 ,业务知识熟练
感谢 客服 热心 耐心 服务 ,客服态度好
感谢 客服 玫瑰 妹子 推荐 ,业务知识熟练
感谢 客服 耐心 推荐 ,意向顾客
感谢 店家 及时 发货 ,发货快
感谢 店家 推荐 尺寸 很 合适 ,尺码合适
感谢 快递 哥 冒 雨 送货 ,快递态度好
感谢 快递 师傅 负责 给 送 过来 ,快递态度好
感谢 淘 友 回答 客服 耐心 解释 ,客服态度好
感谢 给 明 信 片 客服 回复 很 快 ,回复速度快
感谢 给 明 信 片 客服 回复 很 快 ,配送快
感谢 耐克 旗舰店 顺丰 速 运 ,配送快
感谢 耐心 客服 ,客服态度好
感谢 耐心 负责 客服 ,客服态度好
感谢 赠品 ,促销赠品
感谢 顺丰 ,配送快
感谢 顺丰 esprit 客服 ,配送快
愣 是 天 没有 送 件 ,未送货上门
愿 卖家 生意 兴隆 ,客服态度好
愿意 及时 处理 ,处理积极
慢 ,配送慢
慢 送 快递 都 要 天 ,配送慢
慢 要 死 ,配送慢
慢 则 小时 回 句 ,回复速度慢
慢 就 慢 ,配送慢
慢慢 应该 就 好 ,整体满意度佳
慢慢 淡 下来 要 好 点 ,整体满意度佳
慢慢 股 莆田 味道 ,气味问题
慢 跑 还是 可以 ,整体满意度佳
懒得 去 鉴定 是不是 正品 ,正品与否
懒得 退 习惯 好评 是 正品 有 瑕疵 天 还是 要 到 实体店 去 买 ,原装正品
懒得 退 款 还是 不 推荐 买了 感觉 做工 特别 不 细 ,做工粗糙
懒得 退换货 补 差价 还 ,商家补偿
补 差价 还 ,商家补偿
懒得 退换货 补 差价 还 ,客服态度差
成人 脚 穿 还 长 不过 款式 好看 ,偏长
成功 跳 过 人工客服 上班 时间 ,客服态度好
穿着 非常 合身 ,尺码合适
体重 穿 起来 刚 挺 合身 ,尺码合适
微 胖 买 都 太 大 ,行为建议
弄 到 最 感觉 短短 ,偏短
穿 上 还 蛮 长 ,偏长
穿 上 正 合适 ,尺码合适
买 感觉 还是 很大 ,行为建议
重 买 刚好 ,尺码合适
太 小了 ,偏小
穿 也 刚刚 好 ,尺码合适
其实 并不 小 可以 做 款 颜色 很 好 材料 很 舒服 ,材质佳
很 合适 ,尺码合适
穿着 刚好 ,尺码合适
穿 号 有点 长 ,偏长
感觉 衣服 稍微 长 了点 ,偏长
穿 有点 大了 ,偏大
码 刚好 ,尺码合适
背 着 都 有点 大 ,偏大
内衣 背心 也 没 多 线头 ,线头
码 脚 刚刚 好 ,尺码合适
拍 太 大了 ,偏大
码 买 正 合适 ,尺码合适
用 洪荒 力 才 穿 进去 ,穿脱困难
腰 臀围 绰 绰 有 馀 布料 其实 挺 薄 还 可以 ,偏薄
穿 中 号 刚好 ,尺码合适
也 不 大 下 围 ,偏大
穿 感觉 很 舒服 ,舒适度佳
穿 很 帅 ,设计好
一看 做工 粗糙 ,做工粗糙
上 给 整 去 感觉 像 是 机器人 回复 一样 ,机器人回复
下来 准备 再买 蓝 ,意向顾客
再来 ,意向顾客
不 太 清楚 是不是 正品 ,正品与否
不懂 耐克 怎么 标注 尺码 ,尺码偏差
不是 钱 多 烧 非 买 家 多 家 旗舰店 非 选 家 眼 ,整体满意度差
不 相信 是 快递 过程 中 导致 ,配送快
不知道 是不是 正 ,正品与否
不知道 是 真是 假 ,正品与否
不能 说是 小 ,偏小
不 觉得 买 大了 ,偏大
个人 觉着 是 正品 ,原装正品
没有 发票 ,发票问题
为 点 赞 ,整体满意度佳
主要 想 感谢 客服 ,客服态度好
也 一直 想 买 ,意向顾客
也 不会 再买 态度 美国 大牌 ,客服态度差
也 不是 扯皮 人 ,描述差评
也 不晓得 真的 假 ,正品与否
也 不知 真假 ,正品与否
也 不知道 是不是 正品 ,正品与否
也 不知道 是 真是 假 ,正品与否
也 不知道 是 真的 还是 假 ,正品与否
也 不知道 真假 ,正品与否
也 可以 背 ,整体满意度佳
也 很 喜欢 ,整体满意度佳
也 很 喜欢 牌子 ,整体满意度佳
也 挺 喜欢 ,整体满意度佳
也 是 第一次 买 到 掉色 毛衣 ,掉色
也 磨破 怪 ,磨脚
买 都 大 半个 杯 ,行为建议
买 东西 很 少 差评 ,整体满意度差
买了 回来 就要 先 磨脚 ,磨脚
买了 假货 ,正品与否
买了 小半码 还是 大了 很多 ,偏大
买 篮球 鞋 是 买 来 打球 不是 勒 脚 ,描述差评
买 大一码 都 有点 小了 ,行为建议
买 大了 码 准备 换货 东西 没得说 客服 态度 相当 好 ,偏大
买 太 大了 ,偏大
买 很 好 没有 问题 穿着 挺 舒服 好看 ,舒适度佳
买 绝对 保证 专柜 不一样 ,与实体店不一致
从来 不 给 差评 ,整体满意度差
从来 没有 穿过 舒服 鞋 ,舒适度佳
以为 买了 假货 ,期望
家 先生 说 鞋子 很 轻 很 舒服 ,舒适度佳
家 先生 说 鞋子 很 轻 很 舒服 ,轻巧轻便
瘦 脚 也 比较 难 穿 进去 ,穿脱困难
顺丰 速 运 刚刚 开通 不 送货 还 让 自提 ,未送货上门
鬼 镇 上 就 快递 公司 不 私自 收 钱 ,配送快
都 很 喜欢 ,整体满意度佳
一直 关注 ,意向顾客
体重 身高 刚好 感觉 是 正品 不错 一次 购物 ,原装正品
都 感觉 下 围 太 松 ,偏松
儿子 说 蛮 好 ,整体满意度佳
多 穿 码 刚好 ,尺码合适
分别 用 牙刷 蘸 取 牙 膏 洗 衣 粉 分别 ,清洁保养
刚 买 就 降价 ,价格波动
十分 满意 喜欢 ,整体满意度佳
原本 还 发 ems 感觉 慢 不 开心 ,配送慢
去 比 一般 快递 都 慢 ,配送慢
又 不是 闲 蛋 疼 没 事 干 去 买 黑色 鞋子 跟 换 白色 鞋子 ,描述差评
反正 是 穿 一次 不 怎么 敢 穿 第二次 ,描述穿着
反正 脚 口 紧 ,偏窄
只 买了 袜子 也 用 大 盒子 包装 ,包装尺寸不合适
只 想 说 句 物流 太 快 ,配送快
只 想 说 快递 速度 太 快 ,配送快
只 想 说 真的 好 快 ,配送快
只 想 说穿 着 很 舒服 ,舒适度佳
只 想 说 店 服务 一流 ,客服态度好
只是 很 无语 客服 一问三不知 态度 ,业务知识欠缺
只能 冷 冷 说 句 假货 ,正品与否
只能 用 太 薄 太 薄 太 薄 来 形容 ,偏薄
只能 说 不是 正品 ,正品与否
只能 说 件 都 美 爆 ,颜色外形美观
可以 说 超级 厚 ,厚实
同学 一直 都 在 买 ,意向顾客
咨询 问题 从来 不 回复 ,回复速度慢
哥哥 很 喜欢 ,整体满意度佳
操 穿着 太 舒服 ,舒适度佳
喜欢 ,整体满意度佳
喜欢 正品 耐克 ,原装正品
喜欢 河南 ,整体满意度佳
喜欢 手感 ,手感好
喜欢 款式 ,设计好
喜欢 牌子 ,整体满意度佳
喜欢 配色 ,整体满意度佳
喜欢 穿 系列 ,整体满意度佳
喜欢 款式 ,设计好
喜欢 速度 ,配送快
喜欢 非常 好 ,整体满意度佳
在 云南 一天 就 到 ,配送快
在 实体店 里 都 没有 试 到 合适 ,尺码合适
在 天 味道 能 时 留下 ,气味问题
在 买 耐克 是 假 运动鞋 ,正品与否
在 门店 试 觉得 太 弹力 ,弹性佳
在 香港 打 五折 花 ,优惠活动
天 要 好看 ,颜色外形美观
女儿 就 喜欢 蓝色 ,整体满意度佳
女儿 很 喜欢 ,整体满意度佳
女朋友 更 爱 ,整体满意度佳
女 神 非常 喜欢 ,整体满意度佳
好 喜欢 ,整体满意度佳
好好 白色 船 袜 被 染 成 黑 跟 ,掉色
妈妈 说 味道 太 大了 ,气味问题
妈 很 喜欢 ,整体满意度佳
妈 很 满意 ,整体满意度佳
妈 觉得 东西 不错 ,整体满意度佳
妈 说 有点 难 穿 ,穿脱困难
妈 说穿 着 挺 舒服 ,舒适度佳
妈 非常 喜欢 ,整体满意度佳
姐姐 很 喜欢 ,整体满意度佳
宝宝 很 喜欢 ,整体满意度佳
家 娃 很 喜欢 ,整体满意度佳
家 说 很 舒服 ,舒适度佳
对象 穿着 臭 脚 不知道 真假 ,正品与否
对 鞋子 舒适度 要求 很 高 ,舒适度佳
就 套 整 件 衣服 都 是 毛 ,掉毛
就 一直 会 陪伴 ,意向顾客
就 买 小了 ,偏小
就 喜欢 ,整体满意度佳
就 喜欢 服务 ,整体满意度佳
就 喜欢 类型 ,颜色外形美观
就 喜欢 顺丰 速度 ,配送快
就是 不 想 麻烦 才 自己 啃 下 发错 多 女装 ,错件
就是 看 评价 买 大了 码 又 多 花 一次 运费 换货 ,偏大
就 穿 出去 门 还 没 零分 钟 脚 就 被 磨破 ,磨脚
属于 脚背 低 瘦 脚 不 穿 袜子 还是 压 脚 小心 ,舒适度欠佳
已经 没 买 过 洗 完 缩水 厉害 衣服 ,缩水
平时 穿 码 刚 合适 ,尺码合适
平时 穿 码 就是 小了 凑合 着 穿 还是 可以 ,偏小
平时 穿 买 结果 就 像 是 穿 人 鞋子 一样 大的 ,行为建议
炒鸡 喜欢 ,整体满意度佳
蛮 喜欢 ,整体满意度佳
说 超级 好 ,整体满意度佳
收货 时 还 想 问 家 裤子 有 掉色 ,掉色
很 喜欢 ,整体满意度佳
很 喜欢 也 很 满意 ,整体满意度佳
很 喜欢 便宜 又 好看 ,颜色外形美观
很 喜欢 发货 杠杠 ,发货快
很 喜欢 ,整体满意度佳
很 喜欢 颜色 对 空间 也 很 满意 挺 喜欢 ,颜色外形美观
很 少 给 差评 ,整体满意度差
很 满意 ,整体满意度佳
很 疑 惑 旗舰店 销售 是否 正品 ,正品与否
很 胖 都 好 穿 ,整体满意度佳
心爱 篮球 鞋 ,整体满意度佳
怀疑 买了 假货 ,正品与否
怀疑 是 假货 ,正品与否
怎么 感觉 尺码 标准 ,尺码合适
想 经常 来 光顾 ,意向顾客
想 应该 是 正品 ,原装正品
想 是 买 到 假 鞋子 ,正品与否
想 淘宝 差评 就是 给 这家 ,整体满意度差
想 把 封闭 地方 剪 开 应该 会 比较 舒服 ,舒适度佳
想 极力 赞赏 客服 物流 ,客服态度好
想 极力 赞赏 客服 物流 ,配送快
想 说 真的 好 棒 ,整体满意度佳
想 问 发 图片 跟 店主 发 是 同一 鞋 ,与详情页不一致
感觉 不是 正品 ,正品与否
感觉 味道 在 实体店 闻 不 太 一样 ,与实体店不一致
味道 在 实体店 闻 不 太 一样 ,与实体店不一致
感觉 在 门店 试 过 一模一样 ,与实体店一致
感觉 很 好看 很 舒服 ,舒适度佳
感觉 很 好看 很 舒服 ,颜色外形美观
感觉 有点 短 ,偏短
戴 着 很 酷 ,版型不错
拆开 就 不 高兴 ,整体满意度差
拍 下 才 告诉 没有 库存 ,库存情况
拍 还 没 到 手 就 降 ,价格波动
拿到 是 偏暗 紫 罗兰 色 好 ,偏暗
挺 喜欢 ,整体满意度佳
换 码数 也 快 ,配送快
摸 着 挺 舒服 ,材质佳
收到 很 皱 很 皱 ,褶皱
收到 货 又 花 让 缝 店 给 把 开线 地方 给 缝 上 ,脱线
敢 保证 百分之百 不是 正品 ,正品与否
点 给 发 消息 不 理 ,回复速度慢
明明 备注 拒收 ems 还 一定 要 发 ems ,意向顾客
是 小时 就 到 ,配送快
是 基本 不 差评 人 ,整体满意度差
是 女生 看中 脖子 保暖 好 就 买了 最 码 哈 ,保暖
是 女生 脚 瘦 码 款 鞋 码 偏小 客服 说 买了 ,偏小
是 按 尺码 表 买 ,尺码合适
是 挺 喜欢 ,整体满意度佳
是 搞 健身 跑步 太 舒服 ,舒适度佳
是 颜色 都 会 入 ,颜色外形美观
是 特价 买 ,优惠活动
是 觉得 好看 ,颜色外形美观
是 鼻子 贴 到 鞋子 才 闻 到 ,气味问题
最 喜欢 得 款式 ,设计好
最 服 就是 顺丰 ,配送快
最 爱 颜色 ,颜色外形美观
有 穿 都 大了 ,偏大
朋友 说穿 一天 鞋子 字 就 磨 没 ,不耐磨
朋友 说 蝇 药 味道 尴尬 ,气味问题
服 做工 ,做工粗糙
比较 喜欢 味道 ,整体满意度佳
爱 nike ,整体满意度佳
爱 ,整体满意度佳
爱 耐克 ,整体满意度佳
爸 喜欢 ,整体满意度佳
爸 喜欢 很 ,整体满意度佳
爸 很 喜欢 ,整体满意度佳
爸 挺 喜欢 ,整体满意度佳
爸 最 爱 牌子 ,整体满意度佳
爸爸 很 喜欢 ,整体满意度佳
爸爸 穿 正好 ,尺码合适
爸 说 不错 ,整体满意度佳
爸 说 很 不错 ,整体满意度佳
爸 说穿 着 很 舒服 ,舒适度佳
爸 都 说 好看 ,颜色外形美观
爹 喜欢 ,整体满意度佳
特别 喜欢 正品 ,原装正品
用 过年 抽 优惠券 ,优惠活动
用 牙刷 白 牙 膏 还有 洗衣液 都 试 过 ,清洁保养
申请 补 差价 ,商家补偿
男友 说穿 很 舒服 ,舒适度佳
男朋友 穿着 很 舒服 ,舒适度佳
男朋友 说穿 着 有点 小 ,偏小
男朋友 说 蛮 好 蛮 舒服 ,舒适度佳
买 大了 ,偏大
发票 ,发票问题
天 成 家 内衣 一生 粉 太 舒适 太 好看 太 划算 ,性价比高
天 成 家 内衣 一生 粉 太 舒适 太 好看 太 划算 ,舒适度佳
天 成 家 内衣 一生 粉 太 舒适 太 好看 太 划算 ,颜色外形美观
妈 超 好 穿 ,整体满意度佳
帅 加上 裤子 帅 ,设计好
最 爱 ,整体满意度佳
滑板 鞋 时尚 时尚 最 时尚 ,设计好
看 下 产地 是 越南 ,产地信息
脚 属于 很 宽 很 厚 ,厚实
脚 很 宽 穿 起来 也 很 好看 ,颜色外形美观
脚 很 薄 ,偏薄
脚 是 细 长 觉得 大小 挺 合适 ,尺码合适
脚 瘦 买 童 鞋 真 好 也 很 舒服 赞 ,舒适度佳
袜子 染色 ,掉色
裤子 被 快递 弄 丢了 ,丢件
货 被 快递 遗失 ,丢件
还是 小了 ,偏小
线头 超 多 ,线头
问题 不 处理 ,回复速度慢
鞋子 一般 是 买 感觉 小了 ,行为建议
鞋子 收到 发现 小了 ,偏小
鞋子 有点 小 ,偏小
直接 打 差评 ,整体满意度差
相信 是 正品 ,原装正品
看上 面 写 着 不能 水洗 ,清洁保养
看 不 出 到底 是 买 蓝 还是 绿 感觉 蓝色 跟 绿色 似 ,描述颜色
看 评论 说 买 大一码 ,行为建议
看 双十一 买 送 皮带 没 送 ,期待赠品
看 官网 上 购买 评价 也 说 味 大 ,气味问题
看 着 耐磨 就 买了 ,耐磨
真 以为 买 到 假 ,期望
真 怀疑 是不是 买了 件 假货 ,正品与否
真 没得说 还是 帮 朋友 买 九九 买 假 太 假 家 真 ,正品与否
真 觉得 店 里 手感 质地 有 不一样 ,与实体店不一致
码子 偏小 ,偏小
确定 对 说 很 窄 ,偏窄
穿 正 合适 ,尺码合适
穿 系列 种 没有 这样 臭 过 还 香 ,闷气
穿 就 把 脚 后跟 破 皮 ,磨脚
穿 上 其实 不好 看 ,颜色外形欠佳
穿 上 刚好 合适 ,尺码合适
穿 上 竟然 磨脚 ,磨脚
穿 上 贼 难看 ,颜色外形欠佳
穿 上 还是 有点 大 ,偏大
穿 一天 后脚跟 就 磨破 ,磨脚
穿 兼 职 帅 ,设计好
穿 刚好 ,尺码合适
穿 刚好 身 ,尺码合适
穿 码 就 可以 ,尺码合适
穿 得 好看 就 行 ,颜色外形美观
穿 感觉 不错 ,整体满意度佳
穿 有点 大了 ,偏大
穿 正 合身 就是 有点 小贵 ,性价比低
穿着 可以 说是 非常 好看 ,颜色外形美观
穿着 就是 不舒服 ,舒适度欠佳
穿着 有点 挤 脚 ,舒适度欠佳
穿着 有点 大 ,偏大
穿着 脚 疼 ,舒适度欠佳
穿着 走 不到 磨 大 泡 ,磨脚
穿 起来 很 舒服 ,舒适度佳
穿过 长 ,偏长
穿 鞋 从来 不 臭 脚 ,透气
第一次 遇见 能 掉毛 毛衣 太 烂 ,掉毛
给 出 人生 中 第一次 差评 ,整体满意度差
给 差评 ,整体满意度差
给 店家 差评 ,整体满意度差
给 对象 买了 有点 大了 ,偏大
老公 闻 就 说是 假货 ,正品与否
老公 很 喜欢 ,整体满意度佳
老公 穿 正 合适 ,尺码合适
老公 超 喜欢 ,整体满意度佳
老公 还 说穿 脚 痛 ,舒适度欠佳
联系 客服 天 一直 推委 ,客服态度差
背 上 男朋友 都 说 好看 ,颜色外形美观
能 说 味道 很大 ,气味问题
能 说 把 件 搞 丢了 ,丢件
脚 正常 起褶 子 ,褶皱
脚 比较 宽 比较 多 肉 平时 穿 买 ,行为建议
脚背 低 都 刚刚 好 ,尺码合适
脚面 太 高 穿 轻微 压 脚 ,舒适度欠佳
舅 买 说 可以 ,整体满意度佳
客场 球 服 一直 都 挺 好看 ,颜色外形美观
蛮 喜欢 ,整体满意度佳
蛮 喜欢 黑白 配 ,整体满意度佳
要 再 囤 ,意向顾客
要 去 安慰 泡 脚 ,磨脚
要 去 穿 穿 还有 大 ,偏大
要 发票 又 没 用 ,发票问题
要 换货 擅自 就 给 退货 ,退换货
要 发票 也 没 给 ,发票问题
客服 推荐 尺码 有 偏差 ,尺码偏差
觉得 一般 ,整体满意度中
觉得 不是 正品 ,正品与否
觉得 可以 ,整体满意度佳
觉得 合适 正好 ,尺码合适
觉得 大小 挺 合适 ,尺码合适
觉得 好 小 好 小 ,偏小
觉得 好看 ,颜色外形美观
觉得 尺码 正常 码 来 ,尺码合适
觉得 很 好 ,整体满意度佳
觉得 很 舒服 ,舒适度佳
觉得 挺 好 ,整体满意度佳
觉得 挺 好的 ,整体满意度佳
觉得 挺 好看 ,颜色外形美观
觉得 挺 美 ,颜色外形美观
觉得 是 假货 ,正品与否
觉得 是 正品 ,原装正品
觉得 是 双十一 最 棒 购物 ,优惠活动
觉得 有 一点点 小 ,偏小
觉得 有点 偏小 ,偏小
觉得 有点 大 ,偏大
觉得 有点 色差 ,有色差
觉得 比 图片 好看 ,颜色外形美观
觉得 比 铁 锈 红 款 舒服 多 ,舒适度佳
觉得 白色 更 好看 ,颜色外形美观
觉得 码子 偏大 ,偏大
觉得 穿着 还 挺 好看 ,颜色外形美观
觉得 穿 起来 好 舒服 ,舒适度佳
